Month,Year,Fires
June,2000,44
July,2000,117
August,2000,156
June,2001,267
July,2001,373
August,2001,666
June,2002,85
July,2002,536
August,2002,212
June,2003,288
July,2003,133
August,2003,204
June,2004,79
July,2004,101
August,2004,99
June,2005,194
July,2005,602
August,2005,708
June,2006,273
July,2006,597
August,2006,503
June,2007,92
July,2007,201
August,2007,423
June,2008,34
July,2008,35
August,2008,132
June,2009,140
July,2009,42
August,2009,20
June,2010,83
July,2010,166
August,2010,80
June,2011,129
July,2011,398
August,2011,401
June,2012,125
July,2012,710
August,2012,181
June,2013,122
July,2013,168
August,2013,105
June,2014,73
July,2014,86
August,2014,77
June,2015,132
July,2015,165
August,2015,116
June,2016,141
July,2016,147
August,2016,113
June,2017,40
July,2017,230
August,2017,369
June,2018,245
July,2018,524
August,2018,300
June,2019,103
July,2019,152
August,2019,193
June,2020,70
July,2020,303
August,2020,115
June,2021,332
July,2021,572
August,2021,123
June,2022,32
July,2022,63
August,2022,63
